Long Holidays,Days,Start Date,End Date,Duration (Days)
Summer Break,14 May 25 - 19 Aug 25,5/14/25,8/19/25,98
Labor Day long week,30 Aug 25 - 1 Sep 25,8/30/25,9/1/25,3
Fall Term Break,9 Oct 25 - 12 Oct 25,10/9/25,10/12/25,4
Thanksgiving Break,27 Nov 25 - 30 Nov 25,11/27/25,11/30/25,4
Winter Break,19 Dec 25 - 18 Jan 25,12/19/25,1/18/26,31
"MLK, Jr. Day Long week",17 Jan 26 - 19 Jan 26,1/17/26,1/19/26,3
Spring Term Break,7 Mar 26 - 15 Mar 26,3/7/26,3/15/26,9
Summer Break,13 May 26 - 18 Aug 26,5/13/26,8/18/26,98
Labor Day,5 Sep 26 - 7 Sep 26,9/5/26,9/7/26,3
Fall Term Break,1 Oct 26 - 4 Oct 26,10/1/26,10/4/26,4
Thanksgiving Break,26 Nov 26 - 29 Nov 26,11/26/26,11/29/26,4
Winter Break,18 Dec 26 - 17 Jan 27,12/18/26,1/17/27,31
