Name ,Cuisine ,Delivery,Takeout,Cost,Google/ Yelp Reviews,Within 1.5 mile radius
1 Tippling Place,Cocktails,No,No,$$,4.4,
1-900-ICE-CREAM,Ice Cream,Yes,Yes,$,4.3,
12 Steps Down,Dive Bar,No,Yes,$,4.3,
48 Record Bar,Cocktails,No,No,$$$,3.8,
Abyssinia Bar and Restaurant,Ethiopian,Yes,Yes,$,3.9,
Aki Nom Nom Sushi and Ramen ,Japanese,Yes,Yes,$$,4.8,
Almaz Café,Ethiopian,Yes,Yes,$,4.6,
Almyra,Mediterranean,No,Yes,$,4.3,
Alpen Rose,Steakhouse ,No,Yes,$$$,4.2,
Alyan's Middle Eastern,Mediterranean,Yes,Yes,$,4.5,
Amada ,Spanish,Yes,Yes,$$$,4.4,
Ambrosia Ristorante BYOB,Italian ,No,Yes,$$,4.4,
American Sardine Bar,Gastropub,Yes,Yes,$$,3.9,
Amma's South Indian Cuisine,Indian,Yes,Yes,$$,4.4,
Andra Hem,Cocktails,No,No,$$,4.2,
Anejo Philadelphia,Mexican,Yes,Yes,$$,4.3,
Angelo's Pizzeria,Cheesesteaks,No,Yes,$,3.9,
Antonio's Deli,Sandwiches,Yes,Yes,$,4.4,
Ants Pants Cafe,Breakfast/Brunch,Yes,Yes,$$,4.2,
Artisan Boulanger Patissier,Bakery,No,Yes,$,4.1,
Asad's Hot Chicken,Fast Food,Yes,Yes,$,4.1,
Assembly Rooftop Lounge,Cocktails,No,Yes,$$,4.2,
Attico Rooftop,Cocktails,No,Yes,$$$,4,
Ba Le Bakery,Vietnamese,Yes,Yes,$,4,
Bad Brother,American,No,Yes,$$$,3.9,
Bake n' bacon Philadelphia,American,Yes,Yes,$$,4.2,
Bank & Bourbon,American,No,Yes,$$$,3.9,
Bar 1010,Pizza,Yes,Yes,$$,4.3,
Bar Bombon,Vegan,Yes,Yes,$$,3.9,
Bar Jawn,Dive Bar,No,Yes,$,4.5,
Barbuzzo,Mediterranean,Yes,Yes,$$,4,
Barcade,Dive Bar,No,Yes,$$,4.3,
Barceolna Wine Bar,Spanish,No,Yes,$$,4.1,
Bart's Bagels,Bakery,Yes,Yes,$,3.9,
Bart's South Philly,Bakery,Yes,Yes,$,4.1,
Beiler's Bakery,Breakfast/Brunch,Yes,Yes,$,4.5,
Bella Vista Beverage,Beer Store,Yes,Yes,$,3.9,
Bing Bing Dim Sum ,Chinese,Yes,Yes,$$,4.3,
Bistro La Baia BYOB,Italian ,Yes,Yes,$$,4,
Bistro SouthEast,Vietnamese,Yes,Yes,$$,4,
Black Cat Tavern on 12th,Dive Bar,No,No,$$,4.1,
Black Taxi,Dive Bar,No,Yes,$$,3.9,
Blind Barber,Cocktails,No,No,$$,4.6,
Bloomdsday Wine Pub,American,Yes,Yes,$$,4.5,
Bob and Barbara's Lounge,Dive Bar,No,No,$,4.6,
Bok Bar,Cocktails,No,No,$$,4.5,
Bolo,Latin,No,Yes,$$$,4,
Bonnie's Capistrano Bar,Dive Bar,No,No,$,4.2,
Bower Cafe 1213 ,Coffeeshop,No,Yes,$$,4.6,
Brazas BBQ Chicken,Peurvian ,Yes,Yes,$,4.1,
Breakfast Den ,Breakfast/Brunch,Yes,Yes,$,3.9,
Broad Street Diner,Breakfast/Brunch,Yes,Yes,$,2.2,
Bud & Marilyn's ,American,Yes,Yes,$$,4.1,
Buddakan,Asian ,Yes,Yes,$$$,4,
Burrarta ,Italian ,No,Yes,$$,4.2,
Butcher Bar,Gastropub,Yes,Yes,$$,4.2,
Cafe La Maude,Breakfast/Brunch,Yes,Yes,$$,4.3,
Cafe Walnut,Coffeeshop,No,Yes,$,4.1,
Cafe y Choclate,Mexican,Yes,Yes,$$,4,
Carangi Baking Comapny,Bakery,Yes,Yes,$,4.5,
Casa Mexico,Mexican,Yes,Yes,$$,4.2,
Charlie was a sinner,Vegan,Yes,Yes,$$$,4.2,
Circles and Square,Pizza,No,Yes,$$,4.2,
Circles Thai,Thai,Yes,Yes,$$,4,
Clarkville ,Pizza,Yes,Yes,$$,4.4,
Cleavers,Cheesesteaks,Yes,Yes,$$,4.6,
Comfort & Floyd,Breakfast/Brunch,No,Yes,$$,4.2,
Cosmi's Deli,Sandwiches,Yes,Yes,$,3.9,
Crunchik'n,Asian ,Yes,Yes,$,4,
Cuba Libre Restauraunt ,Cuban,Yes,Yes,$$,3.9,
Curiosity Doughnuts,Bakery,No,Yes,$$,4.3,
D'Emilio's Old World Ice Treats,Ice Cream,Yes,Yes,$,4.6,
Dalessandro's Steaks,Cheesesteaks,No,Yes,$,4.3,
Dan Dan Rittenhouse,Chinese,Yes,Yes,$$,4.1,
Dante & Luigis ,Italian,No,Yes,$$$,4.1,
Darling Jack's Tavern,Gastropub,Yes,Yes,$$,4,
Dasiwa,Japanese,Yes,Yes,$$,4.3,
David's Mai Lai Wah ,Chinese,No,Yes,$$,4.2,
"Dear, Lunchbox",Sandwiches,Yes,Yes,$,4,
Deke's BBQ,Barbeque,Yes,Yes,$$,4.3,
Del Frisco's Double Eagle Steakhouse,Steakhouse ,Yes,Yes,$$$$,4.5,
Devon Seafood Grill,American,Yes,Yes,$$$,4.6,
Dibbs BBQ,Barbeque,No,Yes,$$,4.5,
Dim Sum Garden ,Chinese,Yes,Yes,$,4.5,
Dim Sum House by Jane G's,Chinese,Yes,Yes,$$,4.2,
DiNic's Pork & Beef,Sandwiches,Yes,Yes,$,4.4,
Dizengoff,Mediterranean,No,Yes,$,4.2,
Don Barriga ,Mexican,Yes,Yes,$$,4.1,
Donkey's Place,Cheesesteaks,No,Yes,$,4.1,
Doro Bet ,Ethiopian,Yes,Yes,$,4.4,
Double Knot,Japanese,No,Yes,$$,4.6,
Down Home Diner,Breakfast/Brunch,Yes,Yes,$,4.1,
Eggcellent Cafe,Breakfast/Brunch,Yes,Yes,$$,4.7,
Ekta Indian Cuisine,Indian,Yes,Yes,$,4.5,
El Chingon ,Mexican,Yes,Yes,$$,3.8,
El Fuerte de Loreto Philly,Mexican,Yes,Yes,$$,4.1,
El Mezcal Catina ,Mexican,Yes,Yes,$$,4.1,
El Purpecheua ,Mexican,Yes,Yes,$$,4.2,
El Ray,Mexican,No,Yes,$$,4.1,
El Techo,Cocktails,Yes,Yes,$$,4.6,
El Vez,Mexican,Yes,Yes,$$,3.8,
Elixr Coffee Roasters,Coffeeshop,No,Yes,$$,4,
Ember & Ash,American,Yes,Yes,$$$,4.1,
Emei,Chinese,Yes,Yes,$$,4.3,
Emmy Squared Pizza,Pizza,Yes,Yes,$$,4.3,
Enswell,American,No,No,$$,4.3,
Essen Bakery,Breakfast/Brunch,Yes,Yes,$$,4,
Evil Genius Beer Company ,Brewery,Yes,Yes,$,4.2,
Famous 4th Street Deli,Sandwiches,Yes,Yes,$$$,3.8,
Fat Salmon Sushi,Japanese,Yes,Yes,$$,4,
Federal Donuts,Breakfast/Brunch,Yes,Yes,$,4.3,
Fergie's Pub,Dive Bar,Yes,Yes,$,4.4,
Fette Sau,Barbeque,Yes,Yes,$$$,4.2,
Fiorella Pasta,Italian ,No,Yes,$$,3.9,
Fitzwater Bagels,Bakery,Yes,Yes,$,4.1,
Fitzwater Cafe,Breakfast/Brunch,No,No,$,4.5,
Fork,American,Yes,Yes,$$$,3.8,
Forsythia,French,Yes,Yes,$$$$,4.1,
Fountain Porter,Dive Bar,No,Yes,$,4.5,
Frangelli's Bakery & Donuts,Bakery,Yes,Yes,$,4.1,
Frankford Hall,Brewery,Yes,Yes,$$,4.6,
Frankford Tiki Bar,Dive Bar,No,No,$,4.4,
Franklin's Table Food Hall,American,Yes,Yes,$,4.4,
Friday Saturday Sunday,American,No,No,$$$,3.8,
Front Street Cafe,Brunch,No,No,$$,4,
Fu-Wah Mini Market,Sandwiches,Yes,Yes,$,4.1,
Function Coffee Labs,Coffeeshop,No,Yes,$,4.1,
Gabriella's Vietnam ,Vietnamese,No,Yes,$$$,3.9,
Garage Bar,Dive Bar,No,Yes,$,3.9,
Giorgio On Pine,Italian ,No,No,$$,4.5,
Giuseppe & Sons ,Italian ,No,No,$$,4.4,
Glory Beer Bar & Kitchen ,Gastropub,Yes,Yes,$$,3.9,
Gojjo,Ethiopian,Yes,Yes,$$,4.2,
Goldie,Mediterranean,No,Yes,$,4.2,
Good Dog Bar,Gastropub,Yes,Yes,$$,3.8,
Gooey Looies,Sandwiches,No,No,$,4,
Grace & Proper,Gastropub,No,No,$$,4.1,
