Name ,Cuisine ,Cost,Google/ Yelp Reviews,Within 1.5 mile radius
Bad Brother,American,$$$,3.9,Yes
Bake n' bacon Philadelphia,American,$$,4.2,No
Bank & Bourbon,American,$$$,3.9,No
Bloomdsday Wine Pub,American,$$,4.5,No
Bud & Marilyn's ,American,$$,4.1,Yes
Devon Seafood Grill,American,$$$,4.6,No
Ember & Ash,American,$$$,4.1,No
Enswell,American,$$,4.3,No
Fork,American,$$$,3.8,Yes
Franklin's Table Food Hall,American,$,4.4,No
Friday Saturday Sunday,American,$$$,3.8,No
Hearthside,American,$$,4,Yes
Helm ,American,$$$,4,No
Jean-Georges Philadelphia,American,$$$$,3.9,Yes
Kensington Quarters,American,$$$,4.1,No
Liberty Point,American,$$,4.1,No
Little Fish,American,$$$,4,No
Luke's Lobster RittenHouse,American,$$,4.3,No
Mish Mish,American,$$$,4.2,No
Moshulu,American,$$$$,4.1,Yes
My Loup,American,$$$,4,No
North Third,American,$$,4.4,No
Pumpkin BYOB,American,$$$,4.4,No
Reading Terminal Market,American,$$,4.2,Yes
Rex at the Royal,American,$$$,3.8,No
Roberts Block Restaurant,American,$$,4,No
SOUTH Restaurant & Jazz Club,American,$$$,4,No
Talula's Daily,American,$$,4.2,No
Talula's Garden,American,$$$,4.3,Yes
The Love,American,$$$$,4.1,No
Vernick Food & Drink,American,$$$$,4.6,No
White Dog Cafe,American,$$$,4.2,Yes
Wilder,American,$$,4,No
Ninja Bao,Asian,$$,4,Yes
Buddakan,Asian ,$$$,4,No
Crunchik'n,Asian ,$,4,Yes
Hardena,Asian ,$,4.5,No
Kampar,Asian ,$$,4.6,No
Mawn,Asian ,$$$,3.8,Yes
Sampan,Asian ,$$,3.9,No
Sky Cafe,Asian ,$,4.6,Yes
Sophie's Kitchen,Asian ,$,4.1,Yes
Terakawan Ramen,Asian ,$$,4.5,Yes
Vientiane Cafe,Asian ,$$,4.6,No
Artisan Boulanger Patissier,Bakery,$,4.1,No
Bart's Bagels,Bakery,$,3.9,No
Bart's South Philly,Bakery,$,4.1,No
Carangi Baking Comapny,Bakery,$,4.5,No
Curiosity Doughnuts,Bakery,$$,4.3,No
Fitzwater Bagels,Bakery,$,4.1,No
Frangelli's Bakery & Donuts,Bakery,$,4.1,No
Isgro's,Bakery,$$,4,Yes
Kismet Bagels,Bakery,$$,4.5,No
Lost Bread Co.,Bakery,$$,4.1,Yes
Sarcone's,Bakery,$,4.5,No
Seaforest Bakeshop,Bakery,$$,4,Yes
Small Oven/ Porcos Porchetteria,Bakery,$$,4.9,No
Spread Bagelry,Bakery,$,4.6,Yes
Termini Bros Bakery,Bakery,$$,4.1,No
Deke's BBQ,Barbeque,$$,4.3,No
Dibbs BBQ,Barbeque,$$,4.5,No
Fette Sau,Barbeque,$$$,4.2,Yes
Mike's BBQ,Barbeque,$$$,4.3,No
Zig Zag BBQ,Barbeque,$$,4.6,No
1 Tippling Place,Bars & Breweries,$$,4.4,Yes
48 Record Bar,Bars & Breweries,$$$,3.8,No
Andra Hem,Bars & Breweries,$$,4.2,No
Assembly Rooftop Lounge,Bars & Breweries,$$,4.2,No
Attico Rooftop,Bars & Breweries,$$$,4,No
Bella Vista Beverage,Bars & Breweries,$,3.9,Yes
Blind Barber,Bars & Breweries,$$,4.6,No
Bok Bar,Bars & Breweries,$$,4.5,No
El Techo,Bars & Breweries,$$,4.6,No
Evil Genius Beer Company ,Bars & Breweries,$,4.2,No
Frankford Hall,Bars & Breweries,$$,4.6,Yes
Graffiti Bar,Bars & Breweries,$$,3.8,No
Hale & True Cider Co. ,Bars & Breweries,$$,4.1,No
Independence Beer Garden,Bars & Breweries,$$,4.3,No
Jet Wine Bar,Bars & Breweries,$$,4.1,No
Le Caveau,Bars & Breweries,$$,4,No
Libertee Grounds,Bars & Breweries,$$,4.1,No
Lover City Brewing,Bars & Breweries,$$,4,No
Mainstay Independent Brewing Company,Bars & Breweries,$$,4,No
Moore Brothers Wine,Bars & Breweries,$$$,4.2,No
Morgan's Pier ,Bars & Breweries,$,3.8,No
Old City Beer Garden,Bars & Breweries,$$,4,No
Pentridge Station ,Bars & Breweries,$,3.8,No
Philadelphia Distilling,Bars & Breweries,$$,4,No
PHS Pop Up Garden,Bars & Breweries,$$,4.5,No
R&D Cocktail Club,Bars & Breweries,$$,4.5,Yes
Rittenhouse Hotel,Bars & Breweries,$$,4.3,Yes
Rodin Museum (Friday Bar),Bars & Breweries,$$,4.5,No
Solar Myth ,Bars & Breweries,$$,4.2,No
Stratus,Bars & Breweries,$$$,3.9,No
Superfolie,Bars & Breweries,$$$,3.9,Yes
The Franklin Mortgage & Investment,Bars & Breweries,$$$,4.5,Yes
The Ranstead Room,Bars & Breweries,$$,3.9,No
Time,Bars & Breweries,$$,3.9,Yes
Tired Hands Fermentaria Tap Room,Bars & Breweries,$$,4,No
Victory Brewing Company,Bars & Breweries,$$,4.4,No
Writer's Block Rehab,Bars & Breweries,$$,4.4,No
Yards Brewing Company,Bars & Breweries,$$,4.3,No
Young American Hard Cider & Tasting Room,Bars & Breweries,$,4.2,No
Healthy Picks ,Bodega/Late Night,$,4.3,No
La Catrachita Food Truck ,Bodega/Late Night,$,4.3,Yes
Night Owls Fast Food,Bodega/Late Night,$,4,No
SQ Philip's Steaks,Bodega/Late Night,$,4.2,No
Ants Pants Cafe,Breakfast/Brunch,$$,4.2,No
Beiler's Bakery,Breakfast/Brunch,$,4.5,No
Breakfast Den ,Breakfast/Brunch,$,3.9,No
Broad Street Diner,Breakfast/Brunch,$,3.3,No
Cafe La Maude,Breakfast/Brunch,$$,4.3,Yes
Comfort & Floyd,Breakfast/Brunch,$$,4.2,No
Down Home Diner,Breakfast/Brunch,$,4.1,No
Eggcellent Cafe,Breakfast/Brunch,$$,4.7,Yes
Essen Bakery,Breakfast/Brunch,$$,4,No
Federal Donuts,Breakfast/Brunch,$,4.3,No
Fitzwater Cafe,Breakfast/Brunch,$,4.5,No
Haven Cafe,Breakfast/Brunch,$,4.1,No
K'Far Cafe ,Breakfast/Brunch,$,4.2,No
Middle Child Outpost,Breakfast/Brunch,$$,4.1,No
Morning Glory Diner,Breakfast/Brunch,$$,4.5,No
Redcrest Kitchen,Breakfast/Brunch,$$,4.1,No
Sabrina's Cafe South Street,Breakfast/Brunch,$$,4.1,No
Sulimay's Restauraunt,Breakfast/Brunch,$,4.4,No
The Dutch,Breakfast/Brunch,$$,3.9,Yes
Front Street Cafe,Brunch,$$,4,Yes
Honey's Sit 'n Eat,Brunch,$$,3.9,No
Mabu Kitchen,Brunch,$$,4.1,Yes
Silk City,Brunch,$,4.4,No
Winkel,Brunch,$$,3.9,No
Little Delicious,Caribbean,$,4.4,Yes
Ocho Rios Parilla,Caribbean,$,3.9,No
Quality Taste Jamaican Restaurant & Jerk Hut,Caribbean,$,4.1,No
Reggae Reggae Vibes,Caribbean,$,4.3,No
Angelo's Pizzeria,Cheesesteaks,$,3.9,Yes
Cleavers,Cheesesteaks,$$,4.6,No
Dalessandro's Steaks,Cheesesteaks,$,4.3,Yes
Donkey's Place,Cheesesteaks,$,4.1,Yes
Ishkabibble's II,Cheesesteaks,$,4.4,No
Jim's South Street,Cheesesteaks,$,4.3,No
Larry's Steaks,Cheesesteaks,$,3.9,No
Max's Steaks,Cheesesteaks,$,4,No
Steve's Prince of Steaks,Cheesesteaks,$,4.5,Yes
Tony and Nick's Steaks,Cheesesteaks,$,3.8,No
Bing Bing Dim Sum ,Chinese,$$,4.3,No
Dan Dan Rittenhouse,Chinese,$$,4.1,No
David's Mai Lai Wah ,Chinese,$$,4.2,No
Dim Sum Garden ,Chinese,$,4.5,No
Dim Sum House by Jane G's,Chinese,$$,4.2,Yes
Emei,Chinese,$$,4.3,No
Han Dynasty - Old City,Chinese,$$,3.9,No
Lau Kee,Chinese,$$,4.3,No
Nan Zhou Hand Drawn Noodle House,Chinese,$$,3.9,No
Sang Kee Noodle House,Chinese,$$,3.9,No
